seed,distance_routing_correct,angular_routing_correct,density_routing_correct,distance_ari,angular_ari,density_ari
1065,True,True,False,0.9659895015568204,0.908398804842114,0.0016288446485789
1066,True,True,False,0.9584828677567432,0.9212047598042504,-0.0045319400052311
1067,True,False,False,0.9640274657641836,,-0.001411474530586
1068,True,True,False,0.9659885976197716,0.9146969727716387,0.0023247329432675
1069,True,True,False,0.971228423947422,0.9200035264748556,-0.0001933767421935
1070,True,False,False,0.965661827681882,-0.0007835079546393,-0.0043088329671038
1071,True,True,False,0.9650053539965796,0.929632756500566,-0.0089849201567194
1072,True,False,False,0.9709021212460339,,0.0021033783550673756
1073,True,False,False,0.9702434242309911,,-0.003377155885192775
1074,True,True,False,0.9695897027827609,0.9105992003356854,0.000731248623566066
1075,True,True,False,0.963044928318463,0.9208345855106144,0.006409740462877881
1076,True,True,False,0.9620701177952524,0.9245890316904097,-0.002578402883643116
1077,True,False,False,0.963378224244938,,-0.005234864204468335
1078,True,True,False,0.9656947901973107,0.9209165481542091,0.0013385689381963778
1079,True,True,False,0.962390260922466,0.8984763721354491,0.0017218699091338975
