relational_fraction,ratio,seed,detected_pair,routing_correct,kurtosis_dev_true_pair,kurtosis_dev_strongest_competitor,oracle_ari_on_detected_pair
0.08,2.3,5002,"feature_3,feature_4",True,53.83374686914423,10.773163359807189,0.9289443422593086
0.08,2.3,5003,"feature_3,feature_4",True,59.38052120730728,10.685775755076902,0.9246441022522961
0.08,2.3,5004,"feature_3,feature_4",True,56.89244852607786,10.75250720074537,0.9171922412528009
0.08,2.3,5005,"feature_3,feature_4",True,56.540264729790266,10.78749848691908,0.9211289369174969
0.08,2.3,5006,"feature_3,feature_4",True,56.809418155441335,11.065632029589496,0.9246441022522961
0.08,2.3,5007,"feature_3,feature_4",True,61.57950164729722,11.17929714678582,0.9524861595733284
0.08,2.3,5008,"feature_3,feature_4",True,57.884819991742674,10.940848867618154,0.9289443422593086
0.08,2.3,5009,"feature_3,feature_4",True,62.298786625104725,10.843637932042895,0.96036529910753
0.08,2.3,5010,"feature_3,feature_4",True,60.38352325574044,11.07879771847103,0.9289443422593086
0.08,2.3,5011,"feature_3,feature_4",True,54.6249006967691,10.948295450566802,0.9524861595733284
0.08,2.3,5012,"feature_3,feature_4",True,56.43212189226893,10.771443010567465,0.9289443422593086
0.08,2.3,5013,"feature_3,feature_4",True,60.71446639055431,10.99344941980227,0.9211289369174969
0.08,2.3,5014,"feature_3,feature_4",True,56.76323563842939,10.86756493227946,0.9367756811492177
0.08,3.0,5000,"feature_3,feature_4",True,98.76284309225588,10.967624785322846,0.9920411927253111
0.08,3.0,5001,"feature_3,feature_4",True,99.16533118053076,10.791497438331232,0.9840983189987196
0.08,3.0,5002,"feature_3,feature_4",True,94.44720512161578,10.773163359807189,0.9761713788202255
0.08,3.0,5003,"feature_3,feature_4",True,103.71452132317242,10.685775755076902,0.9840983189987196
0.08,3.0,5004,"feature_3,feature_4",True,99.68674893405716,10.75250720074537,0.9920411927253111
0.08,3.0,5005,"feature_3,feature_4",True,99.12707516242207,10.78749848691908,0.9840983189987196
0.08,3.0,5006,"feature_3,feature_4",True,99.1744345574894,11.065632029589496,0.9840983189987196
0.08,3.0,5007,"feature_3,feature_4",True,107.45203023875598,11.17929714678582,0.9840983189987196
0.08,3.0,5008,"feature_3,feature_4",True,101.41834470560985,10.940848867618154,0.9761713788202255
0.08,3.0,5009,"feature_3,feature_4",True,108.46883907110646,10.843637932042895,0.9840983189987196
0.08,3.0,5010,"feature_3,feature_4",True,105.34863990861106,11.07879771847103,0.9840983189987196
0.08,3.0,5011,"feature_3,feature_4",True,95.9860846584915,10.948295450566802,0.9920411927253111
0.08,3.0,5012,"feature_3,feature_4",True,98.6853123972111,10.771443010567465,0.9920411927253111
0.08,3.0,5013,"feature_3,feature_4",True,105.83482927914524,10.99344941980227,0.9761713788202255
0.08,3.0,5014,"feature_3,feature_4",True,99.31147073974401,10.86756493227946,0.9920411927253111
0.08,4.0,5000,"feature_3,feature_4",True,181.49155932657624,10.967624785322846,1.0
0.08,4.0,5001,"feature_3,feature_4",True,183.0175506106603,10.791497438331232,0.9920411927253111
0.08,4.0,5002,"feature_3,feature_4",True,175.03226222919028,10.773163359807189,1.0
0.08,4.0,5003,"feature_3,feature_4",True,191.33269330869427,10.685775755076902,0.9920411927253111
0.08,4.0,5004,"feature_3,feature_4",True,184.15314204572084,10.75250720074537,1.0
0.08,4.0,5005,"feature_3,feature_4",True,183.42491307267773,10.78749848691908,1.0
0.08,4.0,5006,"feature_3,feature_4",True,182.98458940457124,11.065632029589496,1.0
0.08,4.0,5007,"feature_3,feature_4",True,197.77008331207423,11.17929714678582,0.9920411927253111
0.08,4.0,5008,"feature_3,feature_4",True,187.52366193565797,10.940848867618154,1.0
0.08,4.0,5009,"feature_3,feature_4",True,199.01171215729147,10.843637932042895,1.0
0.08,4.0,5010,"feature_3,feature_4",True,194.0351768504308,11.07879771847103,0.9920411927253111
0.08,4.0,5011,"feature_3,feature_4",True,177.8078858372893,10.948295450566802,1.0
0.08,4.0,5012,"feature_3,feature_4",True,182.0716840913734,10.771443010567465,1.0
