param,value,seed,ari_A,ari_B,ari_C,silhouette,epsilon,rho_B,observed_evr_error,theorem1_bound_evr,theorem1_holds
relational_fraction,0.12,2002,0.06370641031563025,0.2242789375285096,-0.00497901450618387,0.36904679025824,0.060614181136449966,0.5348304019862578,0.0078170614452998,0.05455276302280497,True
relational_fraction,0.12,2003,0.11055519969096632,0.22330544530915694,0.0008367416395239905,0.3819555428578679,0.061125715994364976,0.5363332003221462,0.00910155363311016,0.05501314439492848,True
relational_fraction,0.12,2004,0.03212753300125672,0.22637111592543316,0.004139600487104233,0.3652180095950381,0.06283184593426304,0.5560376386560845,0.0062658089552630305,0.056548661340836734,True
relational_fraction,0.12,2005,0.01051601458070822,0.18721083760434556,0.007016291086109163,0.3628793055984775,0.048935420387835375,0.5205104640157241,0.008462965456764625,0.044041878349051836,True
relational_fraction,0.12,2006,0.04466659765979638,0.18459023103621286,-0.0017054535168514243,0.3667684748147321,0.043833580112726415,0.5317582045602508,0.004321940691582626,0.039450222101453776,True
relational_fraction,0.12,2007,0.06676675172407204,0.22982076755365516,0.0001863146312641532,0.374531650660398,0.04563340541239432,0.5373155377462335,0.008040778327325781,0.04107006487115489,True
relational_fraction,0.12,2008,0.06337638305681062,0.2144856775394573,-0.002170683747781284,0.3742730243136018,0.04758342595229788,0.5083755211771995,0.007886868924445966,0.04282508335706809,True
relational_fraction,0.12,2009,0.05836002136184809,0.23509747907804285,0.004172553664095396,0.3833031729139114,0.05297779407272615,0.5523078007531707,0.006712476713226101,0.04768001466545354,True
relational_fraction,0.12,2010,0.07496894845889131,0.20706094469580136,0.00285308593126136,0.36593423892978993,0.04815226254501495,0.5216469991862004,0.008598783043355951,0.043337036290513456,True
relational_fraction,0.12,2011,0.09163770932800938,0.20535239897058266,0.0027353287034124485,0.3837441405177777,0.057063959160897466,0.5170900355975858,0.009281260787338375,0.051357563244807725,True
relational_fraction,0.12,2012,0.03999780319063331,0.2172564988977267,0.006566197465837298,0.38033107046586945,0.07550685081191846,0.5337181845229783,0.008963490051673994,0.06795616573072662,True
relational_fraction,0.12,2013,0.05924566229786199,0.23543013451816336,-0.0031417884476051946,0.38343893658216754,0.04113807614917651,0.512230549481616,0.008816935002702997,0.03702426853425886,True
