seed,detected_pair,routing_correct,kurtosis_dev_feature_3_4,kurtosis_dev_feature_5_6,oracle_ari_on_detected_pair,unsupervised_gmm_no_prior_ari,generic_minority_prior_gmm_ari,oracle_ari_on_true_relational_pair,oracle_ari_on_true_scale_pair_negative_control
1049,"feature_3,feature_4",True,63.01252991082525,8.1351579585209,0.9435151725200662,-0.09731177286239087,-0.09974832020085296,0.9435151725200662,0.4617956292341637
1050,"feature_3,feature_4",True,61.908111665780254,7.887084746925298,0.9363505581483847,-0.09760717262270145,-0.10052952359383277,0.9363505581483847,0.44644522871125986
1051,"feature_3,feature_4",True,63.56373145026177,7.948308040100553,0.9349204349346147,-0.09997714856294375,-0.09221632640118621,0.9349204349346147,0.4661926304595185
1052,"feature_3,feature_4",True,63.57423490147637,8.084314357230184,0.9420783643413007,-0.09610122239164001,-0.06760202599682402,0.9420783643413007,0.4799960066814428
1053,"feature_3,feature_4",True,62.74072040512037,7.850703748010629,0.9420433615115128,-0.09822459634534003,-0.09489761685063597,0.9420433615115128,0.445908649722649
1054,"feature_3,feature_4",True,63.76925765138226,8.101009071658048,0.9320623825084254,-0.09848689330991252,-0.07248824633353552,0.9320623825084254,0.4621454018325591
1055,"feature_3,feature_4",True,64.06090016122427,8.288304059294108,0.9405723008526959,-0.09697784749234376,-0.0971359393845458,0.9405723008526959,0.4639935091521452
1056,"feature_3,feature_4",True,62.451330638195444,7.8662904462134,0.9376324305842725,-0.09941831723597565,-0.09838113401787056,0.9376324305842725,0.4727974427179884
1057,"feature_3,feature_4",True,63.852798983875516,7.9266401467676655,0.9420783643413007,-0.09711359771925678,-0.0703650544322817,0.9420783643413007,0.4750015295829284
1058,"feature_3,feature_4",True,63.77467759613057,7.735986376548611,0.9392129985772756,-0.0946709596573427,-0.09952899119193584,0.9392129985772756,0.43983901479476983
1059,"feature_3,feature_4",True,61.64948339180793,7.882891020831433,0.9449877338783564,-0.09735492871950108,-0.0980509252715653,0.9449877338783564,0.4621454018325591
1060,"feature_3,feature_4",True,64.43755241015646,8.07987172786102,0.9435151725200662,-0.09855396371588458,-0.09206728457934721,0.9435151725200662,0.46558541675240656
1061,"feature_3,feature_4",True,63.4263282266447,8.272576257717454,0.9376324305842725,-0.09843579904136063,-0.09499863991301372,0.9376324305842725,0.45638868333158006
1062,"feature_3,feature_4",True,62.18620975097248,8.130410442705834,0.9377814126959384,-0.09686248664821223,-0.10027480980738794,0.9377814126959384,0.4847620124656235
1063,"feature_3,feature_4",True,63.666804361247955,7.949765047137353,0.9392129985772756,-0.09693194771306743,-0.06438110759818971,0.9392129985772756,0.47720685783726013
1064,"feature_3,feature_4",True,63.12194645518592,8.296245626780337,0.9508854828088844,-0.09907599787661593,-0.0919719420347958,0.9508854828088844,0.46424473035506136
1065,"feature_3,feature_4",True,60.093710097501074,8.12765516774318,0.9420783643413007,-0.1000349361660799,-0.1002912922571529,0.9420783643413007,0.45740359356637555
1066,"feature_3,feature_4",True,62.331302726726705,8.198663552025408,0.9392129985772756,-0.09798335693425816,0.0,0.9392129985772756,0.45959899070557375
1067,"feature_3,feature_4",True,63.35809623682108,8.001800472246414,0.9363505581483847,-0.09630534047375451,-0.06361453429603603,0.9363505581483847,0.4621454018325591
1068,"feature_3,feature_4",True,64.82271415817632,8.246178562621221,0.9406453157923963,-0.09599713973915873,-0.09579107135805699,0.9406453157923963,0.46839299315628347
1069,"feature_3,feature_4",True,63.25528329831204,8.080862661133391,0.9406453157923963,-0.09537215663063207,-0.0993872013424655,0.9406453157923963,0.45604791655800775
1070,"feature_3,feature_4",True,64.60166994123811,8.267642711831924,0.9435151725200662,-0.09917294885464888,-0.09986101321635,0.9435151725200662,0.45740359356637555
1071,"feature_3,feature_4",True,63.658496539362616,8.332878473751945,0.9391019905436159,-0.09744028196885014,-0.0983199539202558,0.9391019905436159,0.48383029093660535
1072,"feature_3,feature_4",True,63.65626073305063,8.265789543772438,0.9420433615115128,-0.0965772625443824,-0.0970911752284773,0.9420433615115128,0.4631943583702894
1073,"feature_3,feature_4",True,64.02407649034382,7.930245070744899,0.9392129985772756,-0.09597090731428805,-0.07272642353153708,0.9392129985772756,0.44425727990841174
1074,"feature_3,feature_4",True,63.70346033568484,8.322215666180956,0.9420783643413007,-0.09633047753941688,-0.06839627322512819,0.9420783643413007,0.47059459724244007
1075,"feature_3,feature_4",True,62.5623600611396,8.270624821628505,0.9292072554173704,-0.0955395823587215,-0.0656024062822434,0.9292072554173704,0.47516301935206395
1076,"feature_3,feature_4",True,62.47991639985824,8.448663794002393,0.9377814126959384,-0.09857054335616083,-0.10000231967040772,0.9377814126959384,0.47029162823418635
1077,"feature_3,feature_4",True,64.26124339001952,8.051821705973973,0.9392129985772756,-0.09954862594397239,-0.08815947960419591,0.9392129985772756,0.48956953046511653
1078,"feature_3,feature_4",True,62.72937922613245,8.2799106899311,0.9263550536614495,-0.09706867182950828,-0.06390335218979364,0.9263550536614495,0.4506292816010307
1079,"feature_3,feature_4",True,64.3113846682914,8.30763266284037,0.9377814126959384,-0.09726829665275406,-0.10023579911160328,0.9377814126959384,0.4703715442379975
