relational_fraction,ratio,seed,ari_A,ari_B,ari_C,silhouette,epsilon,rho_B,observed_evr_error,theorem1_bound_evr,theorem1_holds
0.04,1.2,3013,0.07251682442755747,0.01146403238914503,0.00014805886073921735,0.31627623564313173,0.06337219073314436,0.216532470823819,0.007521233844827313,0.057034971659829924,True
0.04,1.2,3014,0.07678776054113422,0.01613961483161174,0.0013924568376413387,0.317332088004034,0.049887411352201164,0.18988311952071424,0.0066015155792551235,0.044898670216981046,True
0.04,1.6,3000,0.09137680752123065,0.0253046557736249,-0.0010208579889333636,0.3326763771807977,0.04586363150362646,0.20828957704485992,0.006922540061008875,0.04127726835326382,True
0.04,1.6,3001,0.06378961348942741,0.016948314209401027,6.337419481967909e-05,0.31336125932707093,0.04991909517379886,0.22740132178763267,0.005252358725290096,0.044927185656418976,True
0.04,1.6,3002,0.0918058976071204,0.022176082985683937,0.003990680335469927,0.3273159360675164,0.0695669591011935,0.23121748569836847,0.009955359179557744,0.06261026319107414,True
0.04,1.6,3003,0.11557753885545899,0.01960667559389366,0.0009671117279221956,0.32868542044721266,0.05980871866842713,0.18808666321340603,0.008525513721257849,0.05382784680158441,True
0.04,1.6,3004,0.055643073484892454,0.014126933169510658,0.0001785506853280823,0.31420294941173804,0.05705302634052358,0.1734384547772284,0.009147277752877325,0.05134772370647123,True
0.04,1.6,3005,0.07361989627602218,0.01766487519801709,0.0015261594624028296,0.3096057127864691,0.04757076981540209,0.22794329596597948,0.008368947464075193,0.04281369283386188,True
0.04,1.6,3006,0.0925012269036009,0.022731768661028297,0.00010357875745261539,0.3309334066209949,0.06286084923658654,0.2237268207673069,0.008187644063229426,0.056574764312927885,True
0.04,1.6,3007,0.04533405735790428,0.014796295534278366,0.00029102819302007364,0.3096987835896815,0.04387543432769067,0.2089401337723927,0.006403077491293774,0.03948789089492161,True
0.04,1.6,3008,0.050738378410215335,0.018567009486721315,0.0011425190571013079,0.3157916129235439,0.05795364488823117,0.20600394610495398,0.010703330554515288,0.05215828039940805,True
0.04,1.6,3009,0.11319059411666954,0.020801476959315546,0.0008686022634547279,0.32322741331096494,0.05286004943297852,0.22115691026858816,0.0063178154879820255,0.04757404448968067,True
0.04,1.6,3010,0.12455013111479413,0.018540628809944643,-0.0011980943045118927,0.32242970096820556,0.06842264982582308,0.1874706956215589,0.010536405934920112,0.06158038484324078,True
