seed,config,ari_k4,sil_k4
1030,A_plus_B_plus_C,0.07274315076649442,0.38734354235695034
1031,A_only,0.07285375516128097,0.31907509395530287
1031,A_plus_B,0.10335968383495985,0.38921752517481245
1031,A_plus_C,0.057979465552399446,0.31691061947962873
1031,A_plus_B_plus_C,0.035997198498708076,0.3922323120748191
1032,A_only,0.14048181514134353,0.3207193361199141
1032,A_plus_B,0.10153415679206802,0.3849957306272228
1032,A_plus_C,0.11928143793209506,0.3112408665345159
1032,A_plus_B_plus_C,0.003222249716320235,0.36763551856671745
1033,A_only,0.08487655702288703,0.3155623266204909
1033,A_plus_B,0.011645810719217135,0.37295560228867103
1033,A_plus_C,0.17055257085659917,0.32349581647052356
1033,A_plus_B_plus_C,0.006264890151144774,0.3723533664481871
1034,A_only,0.08285001389816991,0.3221247131834035
1034,A_plus_B,0.018496900435898182,0.3765100928917173
1034,A_plus_C,0.0746624285421641,0.30906734383593837
1034,A_plus_B_plus_C,0.03880340394154361,0.38042058260227724
1035,A_only,0.05357775189933079,0.3097549371193987
1035,A_plus_B,0.06802828630459015,0.37480377239392876
1035,A_plus_C,0.09200374481799851,0.3111122186499904
1035,A_plus_B_plus_C,0.07030802642029128,0.3677888427769359
1036,A_only,0.027126717560742912,0.30647187493277145
1036,A_plus_B,0.09012178721325496,0.3779299338895919
1036,A_plus_C,0.06772724863162066,0.3162033692532531
1036,A_plus_B_plus_C,0.050341428483216585,0.3784388372133895
1037,A_only,0.043657218221216716,0.30961890314911833
1037,A_plus_B,0.08053745890175938,0.3734693292602997
1037,A_plus_C,0.10577338959491317,0.3169368364846939
1037,A_plus_B_plus_C,0.11043215979229104,0.37862934043038304
1038,A_only,0.0760033450731702,0.3053956518010386
1038,A_plus_B,0.08479852425306546,0.3831069821613554
1038,A_plus_C,0.07754089612114452,0.3117240117071203
1038,A_plus_B_plus_C,0.08843433245805483,0.38845180062527807
1039,A_only,0.17688457795042178,0.3137728455901604
1039,A_plus_B,0.02320473707764756,0.38415061460153577
1039,A_plus_C,0.06316784497785903,0.31717673767839594
1039,A_plus_B_plus_C,0.0674522504115419,0.3872137831049432
1040,A_only,0.11397319731306568,0.3108760012602477
1040,A_plus_B,0.036220572979403245,0.38317399281022235
1040,A_plus_C,0.09107462410340225,0.3155318752140489
1040,A_plus_B_plus_C,0.07589462868893455,0.3771185135968867
1041,A_only,0.06569863137094913,0.30664405545170675
1041,A_plus_B,0.0256824171464148,0.3838276563635551
1041,A_plus_C,0.06089024533482721,0.30918907863316086
1041,A_plus_B_plus_C,0.0951029044067852,0.37569953294792097
1042,A_only,0.0412444242581761,0.31825561136915664
1042,A_plus_B,0.07923772868418058,0.37531966132486644
1042,A_plus_C,0.03280726988424389,0.3150025259284437
1042,A_plus_B_plus_C,0.050521881198384806,0.3725441121259723
1043,A_only,0.05807525611335387,0.31017983338052496
1043,A_plus_B,0.03908983429788298,0.3699241404701116
1043,A_plus_C,0.06619319314883668,0.3095257462434865
1043,A_plus_B_plus_C,0.07690080000820256,0.3714867182358741
1044,A_only,0.07387817969482267,0.3206432840136827
1044,A_plus_B,0.1050704199318657,0.3724273072096379
1044,A_plus_C,0.030788135486329273,0.3083148022400453
1044,A_plus_B_plus_C,0.13147834334988817,0.38605581814532275
1045,A_only,0.0835661543184165,0.31435523928092585
1045,A_plus_B,0.0033723313974821016,0.3766857416385226
1045,A_plus_C,0.05812228635089938,0.31742451370326424
1045,A_plus_B_plus_C,0.05245433893308689,0.37703692784872556
1046,A_only,0.0772867037692311,0.31895741380288656
1046,A_plus_B,0.06335775143303504,0.37827826876692394
1046,A_plus_C,0.08817125053842467,0.3057772997079081
1046,A_plus_B_plus_C,0.06159107107129649,0.38354327750095635
1047,A_only,0.0980209652490709,0.3210523839800421
1047,A_plus_B,0.12044453532907667,0.37710835391516845
1047,A_plus_C,0.046702271148671634,0.3084732706051637
1047,A_plus_B_plus_C,0.12514898838349198,0.3761457371639963
1048,A_only,0.028136625778036564,0.3179077884187053
1048,A_plus_B,0.0721541286641411,0.3709950263324632
1048,A_plus_C,0.042019734836711654,0.3064488097989729
1048,A_plus_B_plus_C,0.020471746503806655,0.3763485047930487
1049,A_only,0.11279678332609928,0.31579912518016406
1049,A_plus_B,0.06947970577194966,0.37941410772100365
1049,A_plus_C,0.08444333522648795,0.30982684640866404
1049,A_plus_B_plus_C,0.05577968979047569,0.37980652479033855
1050,A_only,0.03697024481923883,0.3204591395081991
1050,A_plus_B,0.08380720592432445,0.38075397972375086
1050,A_plus_C,0.07330631669944421,0.32130068321048905
1050,A_plus_B_plus_C,0.09122546673850168,0.3813114058096665
1051,A_only,0.06983370929821645,0.3248290446759983
1051,A_plus_B,0.023620514292132598,0.37645934674310416
1051,A_plus_C,0.07153912061363436,0.32421791129526784
1051,A_plus_B_plus_C,0.007502239077824061,0.38043584277235204
1052,A_only,0.1334790812468529,0.31401914354214044
1052,A_plus_B,0.11782420381574717,0.37506301493205224
1052,A_plus_C,0.0625061834712561,0.30502563492464146
1052,A_plus_B_plus_C,0.12882277155918534,0.38960935859650303
1053,A_only,0.06467321460292387,0.3155532284822916
1053,A_plus_B,0.003695627555134509,0.3837854535625672
1053,A_plus_C,0.08907138485045805,0.3141273749199921
1053,A_plus_B_plus_C,0.027815331132733875,0.3867381042160263
1054,A_only,0.10340618568720555,0.30476814332753144
1054,A_plus_B,0.01886825932918773,0.38477048493174537
1054,A_plus_C,0.04911524921688448,0.31510482913319343
1054,A_plus_B_plus_C,0.1175716311088576,0.38677441653169764
1055,A_only,0.0315774733042516,0.30827994525189306
1055,A_plus_B,0.04019733206341898,0.379364997323066
1055,A_plus_C,0.09631928475878641,0.31401218632771694
1055,A_plus_B_plus_C,0.006347991934054913,0.3768784951402921
1056,A_only,0.02204722234430506,0.31253547589159747
1056,A_plus_B,0.05001556258811305,0.37212931139980354
1056,A_plus_C,0.06184211068356642,0.31486003978025856
1056,A_plus_B_plus_C,0.07277157716549662,0.37507864024893534
1057,A_only,0.08992077050492,0.3224515551356808
1057,A_plus_B,0.06104689712980767,0.3735845645370006
1057,A_plus_C,0.08648624755748241,0.312965583697955
1057,A_plus_B_plus_C,0.06820367131717556,0.3747206445631406
1058,A_only,0.07067973586467644,0.3094153588632102
1058,A_plus_B,0.06270002253809066,0.37245251917293354
1058,A_plus_C,0.11564905040706497,0.31685454797979595
1058,A_plus_B_plus_C,0.08093045834799045,0.38269654740545356
1059,A_only,0.09015735620515092,0.31154489024111326
1059,A_plus_B,0.08042764733254495,0.3839025715999831
1059,A_plus_C,0.06774672026747203,0.3154407483658351
1059,A_plus_B_plus_C,0.07830817079984938,0.3785041120921307
1060,A_only,0.0649812619933883,0.31294766471491675
1060,A_plus_B,0.05099039031188556,0.3767247873537465
1060,A_plus_C,0.06451741568826913,0.31243110115504896
1060,A_plus_B_plus_C,0.045974867325418625,0.3694773415094772
1061,A_only,0.08298689081020019,0.31403209527936826
1061,A_plus_B,0.06910041235262297,0.3795029193951741
1061,A_plus_C,0.0785965245504602,0.3095179023306489
1061,A_plus_B_plus_C,0.062269795169795146,0.37979374561706036
1062,A_only,0.13285022371511276,0.32033995985153546
1062,A_plus_B,0.10455339229115625,0.38574461913547525
1062,A_plus_C,0.07966198608699203,0.31552657135611156
1062,A_plus_B_plus_C,0.07520804352491026,0.37812017155899086
1063,A_only,0.00834488979831077,0.30809002398705204
1063,A_plus_B,0.056380521028008855,0.36925283797322944
1063,A_plus_C,0.08395424260940669,0.3210772861646323
1063,A_plus_B_plus_C,0.033268435970576486,0.3652695072135384
1064,A_only,0.12414799088394922,0.3199868816688023
1064,A_plus_B,0.03377922348855691,0.3744851336855323
1064,A_plus_C,0.07329004195592248,0.31613822698992555
1064,A_plus_B_plus_C,0.03114324042666514,0.37612018461136293
1065,A_only,0.04565824056899149,0.3052254841720594
