seed,method,latent_dim,epochs_run,native_ari_a,native_ari_b,native_ari_c,posthoc_ari_at_k4,posthoc_ari_relational_at_k4,posthoc_ari_scale_at_k4,posthoc_best_k_by_silhouette,posthoc_ari_at_silhouette_best_k
1013,idec,10,45,0.6164163319591154,0.0057703940223792225,5.6259426651634396e-05,0.6213001107147381,0.007827657503008886,0.00010856684626535323,4,0.6213001107147381
1014,dec,10,24,0.19957033034130364,0.011837478565405662,-7.965306360443237e-05,0.19957033034130364,0.011837478565405662,-7.965306360443237e-05,4,0.19957033034130364
1014,idec,10,47,0.234438345004279,0.01093622768341964,-0.0006969597564435011,0.23465792332461066,0.011248144315690795,-0.000697248477594551,4,0.23465792332461066
1015,dec,10,27,0.5091341696381183,0.02476425693987047,-4.341691174397591e-05,0.5092710884154183,0.024779162873051694,-3.968255302998865e-05,4,0.5092710884154183
1015,idec,10,50,0.6020861525910131,0.0028536218485793585,2.3723862764126627e-05,0.6051579150904073,0.0036532331076836954,-7.284166227512544e-05,4,0.6051579150904073
1016,dec,10,26,0.31169926141007664,0.0012484619856316906,6.38666703753651e-05,0.31169926141007664,0.0012484619856316906,6.38666703753651e-05,4,0.31169926141007664
1016,idec,10,53,0.5279489620025458,0.0002730478947939998,-0.00010762585898908951,0.529403629512932,0.00025911731491058796,-8.125079810865433e-05,4,0.529403629512932
1017,dec,10,25,0.1882756359542842,0.007880535045071703,-4.652035087860717e-05,0.1882756359542842,0.007880535045071703,-4.652035087860717e-05,4,0.1882756359542842
1017,idec,10,33,0.21595546548391997,0.007800017251960307,-0.00027889536926903536,0.21754868774841746,0.008340506789218381,-0.00030205721128266346,4,0.21754868774841746
1018,dec,10,26,0.525241298629924,0.014665390636729055,0.0004329102850089613,0.5252453793685052,0.014707475882423111,0.0004362265701805302,4,0.5252453793685052
1018,idec,10,49,0.5803975705983765,0.00041576518294075544,-3.979544103514895e-05,0.5834404043694216,0.0011987369955144447,-1.8947500554909452e-05,4,0.5834404043694216
1019,dec,10,26,0.20420763657182897,0.011645182553728022,-0.00029812936119920813,0.20420329288045447,0.011639113586800528,-0.0002995509694853316,4,0.20420329288045447
1019,idec,10,60,0.27361504943991527,0.0030933259641694306,-0.0005406839918191795,0.27497133920975136,0.00351043871658426,-0.0006184578037889362,4,0.27497133920975136
1020,dec,10,27,0.5104548504551557,0.019823542103399126,0.00036906524847392456,0.5104548504551557,0.019823542103399126,0.00036906524847392456,4,0.5104548504551557
1020,idec,10,38,0.5710260755100725,0.008244155805848898,0.00014401600937032113,0.5787089105161826,0.010810920734076091,0.0004009373900166865,4,0.5787089105161826
1021,dec,10,29,0.1843599555189913,0.014028238796623868,0.00017560469250996297,0.18450065756017647,0.014084332162296116,0.00018318990812818295,4,0.18450065756017647
1021,idec,10,60,0.1909209924285433,0.011554394477024207,0.00010780473143737486,0.1939876240243326,0.012713160687686447,5.432950998568465e-05,4,0.1939876240243326
1022,dec,10,28,0.461588678459596,0.01892987060667607,-0.0005416079634950892,0.461588678459596,0.01892987060667607,-0.0005416079634950892,4,0.461588678459596
1022,idec,10,47,0.5599177032687263,0.00446408058045541,-5.999108534612552e-06,0.5663170640761753,0.006075013003513286,-2.2990730132955874e-05,4,0.5663170640761753
1023,dec,10,25,0.6001171057736983,0.0034830022915173656,0.00017974240825973964,0.5998128969828909,0.003499258153741788,0.0001804660401430101,4,0.5998128969828909
1023,idec,10,32,0.7140478433883116,-0.00022176823161227331,6.088669950460066e-05,0.7140718127961916,-0.00016678725044228643,0.00011041256504195219,4,0.7140718127961916
1024,dec,10,32,0.18698053996380967,0.01559508705056304,5.5219274655226704e-05,0.18702471046706692,0.01563062646870695,5.651651781123944e-05,4,0.18702471046706692
1024,idec,10,60,0.2242169459609054,0.015046209829814368,-0.00014310737378346909,0.2254926199522727,0.0153956261086887,-0.000236519574014368,4,0.2254926199522727
1025,dec,10,30,0.19583429804819896,0.016558609117956497,-0.00016740181739635486,0.1959399403043425,0.016596893921252454,-0.0001675291544304379,4,0.1959399403043425
1025,idec,10,59,0.20755860271569213,0.012422047954134048,3.5302240500282963e-06,0.20815317456166613,0.012714170583032779,1.0280381925484643e-05,4,0.20815317456166613
1026,dec,10,18,0.639508032859006,0.00013046298951693416,-2.962866813802278e-05,0.6395782990410874,0.0001348486159616966,-2.8791590076346857e-05,4,0.6395782990410874
1026,idec,10,31,0.717350490519288,0.00018892869298923394,-9.084218558356265e-05,0.7169405394588938,0.0001712299803565184,-7.889704334178113e-05,4,0.7169405394588938
1027,dec,10,32,0.1752900502300083,0.023508856820037585,-0.00010911026395997907,0.17572616608967892,0.023680047757977257,-0.00011191822496327492,4,0.17572616608967892
1027,idec,10,39,0.14811457810276574,0.0012587301039582658,0.00024094053272522592,0.1662760205730572,0.008235824834082788,7.919695444280188e-05,4,0.1662760205730572
1028,dec,10,26,0.19390540566762451,0.005666288596947112,-0.0002002439976813059,0.19390540566762451,0.005666288596947112,-0.0002002439976813059,4,0.19390540566762451
1028,idec,10,51,0.23212980740750197,0.007297804914688393,-0.0006014434983129518,0.2337158177911869,0.007778936633110403,-0.000627807950443357,4,0.2337158177911869
1029,dec,10,24,0.20724270275693188,0.02441667022488458,0.00023093540557527227,0.20732164360469915,0.02446272589776762,0.00023340166052397958,4,0.20732164360469915
1029,idec,10,48,0.22221289842203976,0.025303083062028102,-0.0006400106750263001,0.22859235292728308,0.027792832085873048,-0.0007647831455323146,4,0.22859235292728308
1030,dec,10,23,0.2007266418015111,0.0027538620173668425,8.445090162945779e-05,0.20073052965910373,0.002727766435879366,8.23439689456759e-05,4,0.20073052965910373
1030,idec,10,58,0.2678743520858605,0.005698016256893609,-0.0003240598180381806,0.2689333324349812,0.00592645928103553,-0.0003250642526622698,4,0.2689333324349812
1031,dec,10,22,0.642622953096117,0.002784736458425445,-3.7305459631489405e-07,0.6424094278484092,0.002827739033246118,-1.2770877308784644e-06,4,0.6424094278484092
1031,idec,10,38,0.9532992254669657,-4.493348715972967e-05,-3.3783900421350075e-05,0.9536216272655896,-4.7761060990551096e-05,-3.230349484597012e-05,4,0.9536216272655896
1032,dec,10,24,0.5869772373019014,0.001536747606093412,0.000169690304716249,0.5868884816418382,0.0016343515674727568,0.00018543666532203017,4,0.5868884816418382
1032,idec,10,28,0.6424501854911845,-8.749990517665845e-05,7.246989783464075e-05,0.6432588449695166,-0.00014571580095239898,0.0001430557781585424,4,0.6432588449695166
1033,dec,10,25,0.18579149757193406,0.015775190369546686,0.0004442111557759349,0.1857248173569553,0.015738106884174964,0.00044241552899568513,4,0.1857248173569553
1033,idec,10,60,0.20056903320812947,0.01179301758992814,0.00018592853854369542,0.20176321348617088,0.012137299313596864,0.0001730176921831721,4,0.20176321348617088
1034,dec,10,25,0.19736906978609015,0.019445674911924782,0.000580857807402063,0.19706639937034293,0.019431702127334128,0.0006025010956821547,4,0.19706639937034293
1034,idec,10,60,0.2061036078437513,0.01271984624408838,6.604781302220562e-05,0.2066568807633746,0.012906429673093899,4.0823773759575555e-05,4,0.2066568807633746
1035,dec,10,21,0.6404610142157257,0.00029547779434931765,0.00013846476853102065,0.6404055428556207,0.0002940314136907242,0.00014099138980657434,4,0.6404055428556207
1035,idec,10,34,0.6608405739597746,0.00022506462429619227,-8.287423603267606e-05,0.6615253542596813,0.00022890700788453423,-0.00010147346166048696,4,0.6615253542596813
1036,dec,10,27,0.2383601329968238,0.022983441499628318,-0.0004798308833593546,0.2383601329968238,0.022983441499628318,-0.0004798308833593546,4,0.2383601329968238
1036,idec,10,53,0.28338558491390836,0.005778235925650891,-9.307136080739257e-05,0.2861278105173294,0.006822240766226656,-7.958526613253064e-05,4,0.2861278105173294
1037,dec,10,23,0.4573417389133721,0.01616232716571388,-0.0003559446066040877,0.4577428462661043,0.016208618351798036,-0.0003538228672380118,4,0.4577428462661043
1037,idec,10,48,0.6089776256174046,0.005056503579254971,-0.00027548597023792164,0.6115187040013137,0.005989306964395126,-0.00024615163187458305,4,0.6115187040013137
